"Pinto
(11)",Mustang (10),,"Bronco
(8)","Shetland
(14)","Pony
(2)",Release,,,,"Insufficient
Fields",,Not Used & Not Released
,,,,,,,,,,,,
Date,Day,Setup - Ready Time,Start - End Time,Facility/Equipment/Instructor,Permit#,Division,Count,Slots,Sum,Needs,,Release
"May 15, 2023",Mon,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 01,R108576,,,,,,,
"May 15, 2023",Mon,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 02,R108576,,,,,,,
"May 15, 2023",Mon,,05:45 PM - 07:30 PM,Riverview Playfield Ballfield 01,R108574,,,,,,,
"May 15, 2023",Mon,,05:45 PM - 08:00 PM,Delridge Playfield Ballfield 01 (SW),R108581,,,,,,,
"May 16, 2023",Tue,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 04,R108571,,,,,,,
"May 16, 2023",Tue,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 03,R108571,,,,,,,
"May 16, 2023",Tue,,05:30 PM - 08:00 PM,Walt Hundley Playfield Ballfield 01,R108581,,,,,,,
"May 16, 2023",Tue,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 01,R108579,,,,,,,
"May 16, 2023",Tue,,06:00 PM - 07:30 PM,Walt Hundley Playfield Ballfield 02,R108574,,,,,,,
"May 17, 2023",Wed,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 04,R108571,,,,,,,
"May 17, 2023",Wed,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 03,R108571,,,,,,,
"May 17, 2023",Wed,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108571,,,,,,,
"May 17, 2023",Wed,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 01,R108576,,,,,,,
"May 17, 2023",Wed,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 02,R108576,,,,,,,
"May 17, 2023",Wed,,05:45 PM - 07:30 PM,Riverview Playfield Ballfield 01,R108574,,,,,,,
"May 17, 2023",Wed,,05:45 PM - 08:00 PM,Delridge Playfield Ballfield 01 (SW),R108581,,,,,,,
"May 18, 2023",Thu,,05:30 PM - 08:00 PM,Walt Hundley Playfield Ballfield 01,R108579,,,,,,,
"May 18, 2023",Thu,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 01,R108577,,,,,,,
"May 19, 2023",Fri,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108576,,,,,,,
"May 19, 2023",Fri,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 03,R108576,,,,,,,
"May 19, 2023",Fri,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 04,R108576,,,,,,,
"May 19, 2023",Fri,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 01,R108577,,,,,,,
"May 19, 2023",Fri,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 02,R108577,,,,,,,
"May 19, 2023",Fri,,05:45 PM - 07:30 PM,Riverview Playfield Ballfield 01,R108576,,,,,,,
"May 20, 2023",Sat,,09:00 AM - 05:00 PM,Riverview Playfield Ballfield 01,R108576,,,,,,,
"May 20, 2023",Sat,,09:00 AM - 05:00 PM,Riverview Playfield Ballfield 02,R108576,,,,,,,
"May 20, 2023",Sat,,09:00 AM - 05:00 PM,Riverview Playfield Ballfield 03,R108576,,,,,,,
"May 20, 2023",Sat,,09:00 AM - 01:00 PM,Delridge Playfield Ballfield 01 (SW),R108582,,,,,,,
"May 20, 2023",Sat,,10:00 AM - 04:00 PM,Lincoln Park Ballfield 01,R108581,,,,,,,
"May 22, 2023",Mon,,05:00 PM - 08:00 PM,Riverview Playfield Ballfield 03,R108571,,,,,,,
"May 22, 2023",Mon,,05:00 PM - 08:00 PM,Riverview Playfield Ballfield 02,R108571,,,,,,,
"May 22, 2023",Mon,,05:00 PM - 08:00 PM,Riverview Playfield Ballfield 01,R108571,,,,,,,
"May 22, 2023",Mon,,05:00 PM - 08:00 PM,Riverview Playfield Ballfield 04,R108571,,,,,,,
"May 23, 2023",Tue,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108574,,,,,,,
"May 23, 2023",Tue,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 03,R108574,,,,,,,
"May 23, 2023",Tue,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 01,R108579,,,,,,,
"May 23, 2023",Tue,,05:30 PM - 08:00 PM,Walt Hundley Playfield Ballfield 01,R108579,,,,,,,
"May 24, 2023",Wed,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 03,R108571,,,,,,,
"May 24, 2023",Wed,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108571,,,,,,,
"May 24, 2023",Wed,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 04,R108571,,,,,,,
"May 24, 2023",Wed,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 02,R108576,,,,,,,
"May 24, 2023",Wed,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 01,R108576,,,,,,,
"May 24, 2023",Wed,,05:45 PM - 07:30 PM,Riverview Playfield Ballfield 01,R108574,,,,,,,
"May 25, 2023",Thu,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 01,R108579,,,,,,,
"May 25, 2023",Thu,,05:30 PM - 08:00 PM,Walt Hundley Playfield Ballfield 01,R108579,,,,,,,
"May 26, 2023",Fri,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108574,,,,,,,
"May 26, 2023",Fri,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 04,R108574,,,,,,,
"May 26, 2023",Fri,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 03,R108574,,,,,,,
"May 26, 2023",Fri,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 02,R108577,,,,,,,
"May 26, 2023",Fri,,05:30 PM - 08:00 PM,Lincoln Park Ballfield 01,R108577,,,,,,,
"May 26, 2023",Fri,,05:45 PM - 08:45 PM,Walt Hundley Playfield Ballfield 01,R108582,,,,,,,
"May 26, 2023",Fri,,05:45 PM - 07:30 PM,Riverview Playfield Ballfield 01,R108574,,,,,,,
"May 27, 2023",Sat,,09:00 AM - 12:00 PM,Riverview Playfield Ballfield 01,R108571,,,,,,,
"May 27, 2023",Sat,,09:00 AM - 06:00 PM,Delridge Playfield Ballfield 01 (SW),R108579,,,,,,,
"May 27, 2023",Sat,,09:15 AM - 12:00 PM,Riverview Playfield Ballfield 04,R108571,,,,,,,
"May 27, 2023",Sat,,10:00 AM - 05:00 PM,Riverview Playfield Ballfield 02,R108576,,,,,,,
"May 27, 2023",Sat,,10:00 AM - 05:00 PM,Riverview Playfield Ballfield 03,R108576,,,,,,,
"May 27, 2023",Sat,,10:00 AM - 01:00 PM,Lincoln Park Ballfield 01,R108579,,,,,,,
"May 27, 2023",Sat,,01:00 PM - 07:00 PM,Lincoln Park Ballfield 01,R108576,,,,,,,
"May 27, 2023",Sat,,01:00 PM - 07:00 PM,Lincoln Park Ballfield 02,R108576,,,,,,,
"May 30, 2023",Tue,,05:00 PM - 07:30 PM,Lincoln Park Ballfield 02,R108576,,,,,,,
"May 30, 2023",Tue,,05:00 PM - 07:30 PM,Lincoln Park Ballfield 01,R108576,,,,,,,
"May 30, 2023",Tue,,05:30 PM - 08:00 PM,Walt Hundley Playfield Ballfield 01,R108581,,,,,,,
