"Pinto
(11)",Mustang (10),,"Bronco
(8)","Shetland
(14)","Pony
(2)",Release,,,,"Insufficient
Fields",,Not Used & Not Released
,,,,,,,,,,,,
Date,Day,Setup - Ready Time,Start - End Time,Facility/Equipment/Instructor,Permit#,Division,Count,Slots,Sum,Needs,,Release
"Mar 18, 2023",Sat,,11:00 AM - 01:00 PM,Riverview Playfield Ballfield 02,R108572,Mustang,,1,,,,
"Mar 18, 2023",Sat,,11:00 AM - 01:00 PM,Riverview Playfield Ballfield 03,R108571,Mustang,,1,,,,
"Mar 18, 2023",Sat,,11:00 AM - 01:00 PM,Riverview Playfield Ballfield 04,R108572,Mustang,,1,16,10,,
"Mar 18, 2023",Sat,,09:00 AM - 03:00 PM,Lincoln Park Ballfield 01,R108576,,,,,,,X
"Mar 18, 2023",Sat,,09:00 AM - 03:00 PM,Lincoln Park Ballfield 02,R108577,,,,,,,X
"Mar 18, 2023",Sat,,12:00 PM - 04:30 PM,Sealth HS Complex Utility Field Lower,R108572,,,,,,,X
"Mar 18, 2023",Sat,,12:00 PM - 05:00 PM,Sealth HS Complex Softball Upper,R108571,,,,,,,X
"Mar 18, 2023",Sat,,03:30 PM - 06:30 PM,Sealth HS Complex Softball Lower,R108572,,,,,,,X
"Mar 18, 2023",Sat,,05:00 PM - 06:30 PM,Sealth HS Complex Utility Field Lower,R108572,,,,,,,X
"Mar 19, 2023",Sun,,09:00 AM - 01:00 PM,Riverview Playfield Ballfield 04,R108572,,,,,,,X
"Mar 19, 2023",Sun,,09:00 AM - 12:00 PM,Lincoln Park Ballfield 01,R108577,,,,,,,X
"Mar 19, 2023",Sun,,09:00 AM - 01:00 PM,Riverview Playfield Ballfield 02,R108572,,,,,,,X
"Mar 19, 2023",Sun,,09:00 AM - 01:00 PM,Riverview Playfield Ballfield 03,R108572,,,,,,,X
"Mar 19, 2023",Sun,,09:00 AM - 01:00 PM,Riverview Playfield Ballfield 01,R108572,,,,,,,X
"Mar 19, 2023",Sun,,03:00 PM - 06:00 PM,Sealth HS Complex Utility Field Lower,R108572,,,,,,,X
"Mar 20, 2023",Mon,,05:45 PM - 07:45 PM,Delridge Playfield Ballfield 01 (SW),R108579,Bronco,,2,,,,
"Mar 20, 2023",Mon,,05:45 PM - 07:30 PM,Delridge Playfield Ballfield 02 (NE),R108572,Bronco,,2,,,,
"Mar 20, 2023",Mon,,05:00 PM - 07:30 PM,Lincoln Park Ballfield 02,R108572,Bronco,,1,,,,
"Mar 20, 2023",Mon,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 01,R108572,Bronco,,1,,,,
"Mar 20, 2023",Mon,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108571,Bronco,,1,,,,
"Mar 20, 2023",Mon,,05:30 PM - 07:30 PM,Lincoln Park Ballfield 01,R108576,Bronco,,1,8,8,,
"Mar 20, 2023",Mon,,07:00 PM - 09:00 PM,Sealth HS Complex Utility Field Lower,R108572,Pinto,,2,,,,
"Mar 20, 2023",Mon,,05:00 PM - 07:30 PM,Pee Wees,,Pinto,,4,,,,
"Mar 20, 2023",Mon,,07:00 PM - 09:00 PM,Sealth HS Complex Softball Lower,R108572,Pinto,,2,8,11,,
"Mar 21, 2023",Tue,,05:00 PM - 07:30 PM,Pee Wees,,Mustang,,4,,,,
"Mar 21, 2023",Tue,,05:00 PM - 07:30 PM,Lincoln Park Ballfield 01,R108581,Mustang,,1,,,,
"Mar 21, 2023",Tue,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 01,R108572,Mustang,,1,,,,
"Mar 21, 2023",Tue,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108572,Mustang,,1,,,,
"Mar 21, 2023",Tue,,05:45 PM - 08:00 PM,Delridge Playfield Ballfield 01 (SW),R108581,Mustang,,4,11,10,,
"Mar 21, 2023",Tue,,07:00 PM - 09:00 PM,Sealth HS Complex Softball Lower,R108572,Pony,,1,,,,
"Mar 21, 2023",Tue,,07:00 PM - 07:45 PM,Sealth HS Complex Utility Field Lower,R108572,Pony,,1,2,2,,
"Mar 22, 2023",Wed,,07:00 PM - 09:00 PM,Sealth HS Complex Softball Lower,R108572,Bronco,,2,,,,
"Mar 22, 2023",Wed,,07:00 PM - 09:00 PM,Sealth HS Complex Utility Field Lower,R108572,Bronco,,1,,,,
"Mar 22, 2023",Wed,,05:00 PM - 07:30 PM,Lincoln Park Ballfield 02,R108572,Bronco,,1,,,,
"Mar 22, 2023",Wed,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 03,R108571,Bronco,,1,,,,
"Mar 22, 2023",Wed,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 01,R108572,Bronco,,1,,,,
"Mar 22, 2023",Wed,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108571,Bronco,,1,,,,
